"","logFC","logCPM","PValue","FDR"
"MSTRG.10242",12.0238812879612,4.09768473073868,2.02201099490665e-12,2.36419747096778e-10
"MSTRG.6204",11.4831477558362,3.55496908599785,1.73199796105702e-25,1.31631845040333e-22
"MSTRG.3884",11.163677219507,3.22875704935211,3.80526447498452e-05,0.000582770982566899
"STRG.12013",10.4026789560384,2.48333771772179,2.10360324423184e-08,8.85114721448414e-07
"MSTRG.15830",10.3438191872993,2.43411331523669,4.32103654499489e-05,0.000646295256914365
"MSTRG.13783",10.2069184787628,2.30668952171855,4.29961178558349e-06,8.8615727648636e-05
"MSTRG.13813",10.1150197876108,2.20312875154519,5.71397727464624e-05,0.000830130987571066
"MSTRG.7444",9.4701679746461,1.58062087333839,9.06381883127371e-05,0.00122871836107345
"MSTRG.18463",9.35248460014705,4.1799666096296,9.24613791065732e-13,1.17117746868326e-10
"MSTRG.2671",9.20578389305371,6.40080935802385,1.23471230097334e-10,1.05733109717154e-08
"MSTRG.2582",9.10710864117156,1.22402320744915,2.11068881904716e-10,1.69973351255719e-08
"MSTRG.4261",8.65070036976239,4.29971424429706,1.80241266036093e-08,7.7446423851551e-07
"MSTRG.17787",8.44185604287449,3.84296953803857,5.42910408634561e-57,6.60179056899626e-53
"MSTRG.3160",8.4173999581436,0.549804026576976,1.24120316321981e-06,3.06146662571052e-05
"MSTRG.5361",8.36108773074672,0.507618268092718,0.000326350278126883,0.00361480844343474
"MSTRG.3674",8.15572764597253,0.335119863570677,1.47247424117906e-06,3.53859422386113e-05
"MSTRG.1070",8.12048316993938,0.283845241477666,4.13765956374244e-18,1.4375411512888e-15
"MSTRG.5588",8.06447955923937,0.167868111200027,0.000212256726306161,0.00255043655324399
"MSTRG.4196",7.95695509515094,0.1384195676046,1.0391197035896e-12,1.27633288844945e-10
"MSTRG.14038",7.8813179534781,0.0641326398056045,0.000635536117111445,0.00625758638386654
"MSTRG.4888",7.84852502283392,0.0372155332568076,3.94337777099013e-12,4.44769659168686e-10
"MSTRG.11381",7.79580740133579,1.81969657742496,2.38181043884209e-09,1.40596189011261e-07
"MSTRG.2677",7.74059228506199,-0.0993192045127642,1.29578122357732e-05,0.000229355162717617
"MSTRG.707",7.71188356921071,-0.0712940354770597,4.81927144104214e-08,1.83706397251011e-06
